"","Practice.Code","Volume","Cost","ID","Cluster"
"435","A84040",460581,50524.15115,435,1
"436","A84042",210686,26155.72459,436,1
"437","A84043",2910361,244308.48367,437,1
"438","A84044",1275037,115445.06255,438,1
"439","A84045",746165,68231.96907,439,1
"440","A84047",1073327,82568.58299,440,1
"441","A84048",1809975,146781.24996,441,1
"442","A84604",249514,29875.71265,442,1
"443","A84609",155814,18669.26257,443,1
"444","A84613",166656,14288.71766,444,1
"445","A84614",230206,24576.30408,445,1
"446","A84619",409652,45377.07242,446,1
"447","A85001",1030222,99225.48045,447,1
"448","A85002",682094,61763.2741,448,1
"449","A85003",1250241,111533.06979,449,1
"450","A85004",1950925,169711.76669,450,1
"451","A85005",3214042,252975.81774,451,1
"452","A85006",1484197,125484.53145,452,1
"453","A85007",1194354,110275.57586,453,1
"454","A85008",3220008,281019.93306,454,1
"455","A85009",1454669,125489.16692,455,1
"456","A85010",2048765,169412.5938,456,1
"457","A85011",1564942,122363.77281,457,1
"458","A85012",802794,77090.09526,458,1
"459","A85013",538504,49539.7841,459,1
"460","A85014",1294328,117113.98577,460,1
"461","A85015",4439,434.20549,461,1
"462","A85016",2179863,179865.79765,462,1
"463","A85017",751603,65543.26807,463,1
"464","A85018",898115,84406.5241,464,1
"465","A85019",1706568,153785.55896,465,1
"466","A85020",2775216,235327.35509,466,1
"467","A85021",433259,33143.55429,467,1
"468","A85023",1195079,91976.09206,468,1
"469","A85024",456203,45384.96589,469,1
"470","A85026",739633,63389.73067,470,1
"471","A85605",413107,39366.60563,471,1
"472","A85609",284419,20908.93905,472,1
"473","A85611",777715,67073.11625,473,1
"474","A85614",600791,59919.13027,474,1
"475","A85616",394921,40740.50294,475,1
"476","A85617",769620,55095.8939,476,1
"477","A85620",613857,56973.20099,477,1
"478","A85621",50807,3031.52669,478,1
"479","A86003",3169424,296424.139,479,1
"480","A86004",2808547,191362.86886,480,1
"481","A86005",1343111,105544.42563,481,1
"482","A86006",840809,74668.47186,482,1
"483","A86007",333326,22323.68455,483,1
"484","A86008",1767811,156931.88591,484,1
"485","A86009",1209558,100311.78077,485,1
"486","A86010",1333481,105089.21351,486,1
"487","A86011",2396628,202718.20098,487,1
"488","A86012",1476903,103613.80197,488,1
"489","A86013",1628916,132236.31603,489,1
"490","A86015",880754,86472.88806,490,1
"491","A86016",935706,106450.96685,491,1
"492","A86017",2348239,177399.13676,492,1
"493","A86018",1931639,152993.24859,493,1
"494","A86020",463234,43720.3122,494,1
"495","A86021",2479530,212338.10826,495,1
"496","A86022",1143054,108144.66789,496,1
"497","A86023",1302724,121955.86416,497,1
"498","A86024",1409373,94404.57974,498,1
"499","A86025",2385732,200241.75525,499,1
"500","A86026",1450141,111322.20958,500,1
"501","A86027",223497,21517.5095,501,1
"502","A86028",600978,53305.60198,502,1
"503","A86029",2068931,172649.66097,503,1
"504","A86030",2178075,185151.40072,504,1
"505","A86031",1263989,100375.25563,505,1
"506","A86033",583236,43849.07619,506,1
"507","A86035",343660,31235.32933,507,1
"508","A86036",1202832,93647.04357,508,1
"509","A86037",1296286,107634.38435,509,1
"510","A86038",1096787,95069.23344,510,1
"511","A86040",1122753,95247.35796,511,1
"512","A86041",788619,74236.10592,512,1
"513","A86601",1697166,146718.86423,513,1
"514","A87002",1445858,119706.00539,514,1
"515","A87003",2029536,186930.58769,515,1
"516","A87004",3077006,261472.24528,516,1
"517","A87005",1837489,173242.70489,517,1
"518","A87006",1061190,83824.98339,518,1
"519","A87007",1494029,151654.27697,519,1
"520","A87008",995374,89130.77212,520,1
"521","A87009",1984348,199940.23167,521,1
"522","A87011",920999,87893.29991,522,1
"523","A87012",1475344,128753.06318,523,1
"524","A87013",1801787,163389.03762,524,1
"525","A87014",790560,57825.91381,525,1
"526","A87015",1325007,111666.5349,526,1
"527","A87016",1631782,146417.09168,527,1
"528","A87017",1105102,93015.93136,528,1
"529","A87019",996641,91527.31182,529,1
"530","A87020",1217236,117796.91317,530,1
"531","A87022",676083,67318.55366,531,1
"532","A87023",976498,96284.98731,532,1
"533","A87027",922233,99683.12058,533,1
"534","A87029",949472,88527.26275,534,1
"535","A87030",847915,71642.20569,535,1
"536","A87600",604735,55862.28163,536,1
"537","A87612",849091,71740.38524,537,1
"538","A87615",636347,67151.49729,538,1
"539","A88001",479597,50125.097,539,1
"540","A88002",2107878,201284.57844,540,1
"541","A88003",1996949,197927.70406,541,1
"542","A88004",1694434,146374.4613,542,1
"543","A88005",650692,68819.41263,543,1
"544","A88006",1375830,141794.96279,544,1
"545","A88007",1457088,140592.04279,545,1
"546","A88008",1030266,99534.75387,546,1
"547","A88009",869041,73796.53312,547,1
"548","A88010",646532,61612.3382,548,1
"549","A88011",478877,49101.50031,549,1
"550","A88012",1017489,99987.73594,550,1
"551","A88013",2224764,203086.7021,551,1
"552","A88014",336037,37029.06658,552,1
"553","A88015",733251,69526.77386,553,1
"554","A88016",1244578,105432.51846,554,1
"555","A88020",368512,33302.94961,555,1
